id,merchantId,customerId,amount,currency,status,paymentMethod,failureReasonCode,attemptCount,lastAttemptAt,createdAt
csv_txn_0001,mer_aurora_retail,cus_0001,349900,INR,succeeded,card,,1,2025-04-01T09:00:00.000Z,2025-04-01T08:59:40.000Z
csv_txn_0002,mer_aurora_retail,cus_0002,129900,INR,failed,card,issuer_decline,1,2025-04-01T10:15:00.000Z,2025-04-01T10:14:45.000Z
csv_txn_0003,mer_aurora_retail,cus_0003,79900,INR,failed,card,insufficient_funds,1,2025-04-01T11:02:00.000Z,2025-04-01T11:01:50.000Z
csv_txn_0004,mer_northwind_saas,cus_0007,199900,INR,failed,upi,upi_failure,1,2025-04-01T12:30:00.000Z,2025-04-01T12:29:50.000Z
csv_txn_0005,mer_aurora_retail,cus_0004,459900,INR,failed,netbanking,network_timeout,1,2025-04-01T13:45:00.000Z,2025-04-01T13:44:40.000Z
csv_txn_0006,mer_northwind_saas,cus_0008,89900,INR,failed,card,expired_card,1,2025-04-01T14:20:00.000Z,2025-04-01T14:19:50.000Z
csv_txn_0007,mer_aurora_retail,cus_0005,599900,INR,abandoned,unknown,,0,2025-04-01T15:00:00.000Z,2025-04-01T15:00:00.000Z
csv_txn_0008,mer_northwind_saas,cus_0009,149900,INR,refunded,upi,,1,2025-04-01T16:10:00.000Z,2025-04-01T16:09:50.000Z
csv_txn_0009,mer_aurora_retail,cus_0006,249900,INR,pending,netbanking,,1,2025-04-01T17:05:00.000Z,2025-04-01T17:04:40.000Z
csv_txn_0010,mer_northwind_saas,cus_0010,179900,INR,failed,emi,authentication_failed,1,2025-04-01T18:25:00.000Z,2025-04-01T18:24:50.000Z
